ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
13624,Rothes,327800,849700,The Combination Of Rothes Distillers Ltd,"Food, drink & tobacco industry",1656.45,Scotland,57.53166073504816,-3.2074230971633213
13259,Cullompton,303100,108200,Higher Kings Mill Ltd,"Paper, printing & publishing industries",1646.074265,England,50.865157600249276,-3.378308709702322
41297,David Jack Research Centre,534790,214440,GlaxoSmithKline Research & Development Ltd,Commercial,1644.54762,England,51.81234848252836,-0.046114875722412234
43109,Basildon,571350,190416,CNH Industrial N.V.,"Agriculture, forestry & fishing",1615.159803,England,51.58654596097893,0.47196055721891633
12002,Hazel Grove,390600,386600,NXP Semiconductors UK Ltd,Electrical engineering,1605.3936,England,53.376170150333245,-2.1427586690149862
40295,East Tullos,395569,804018,Pelagia (UK) Ltd,"Food, drink & tobacco industry",1547.410159,Scotland,57.12706464056782,-2.074822700382803
1903,Southend-On-Sea,594490,185470,Qinetiq Ltd,Commercial,1537.828379,England,51.53462361761731,0.8028367328650935
8070,Bolton,372280,409880,Vernacare Ltd,"Paper, printing & publishing industries",1527.405652,England,53.58476783999238,-2.420191403227288
11075,Burton Plant,423460,322670,Unilever UK Ltd,"Food, drink & tobacco industry",1483.458207,England,52.80108206268121,-1.6534745125800987
40104,Southall Ready Meals Factory,514190,179980,Noon Products Ltd,"Food, drink & tobacco industry",1453.909091,England,51.50722341406098,-0.3560428671218686
8488,Pool Paper Mills,423700,445400,Whiteley Ltd,"Paper, printing & publishing industries",1435.021677,England,53.9042249945814,-1.6407645005953322
9459,Longbenton,426400,569400,Greggs Plc,"Food, drink & tobacco industry",1411.636364,England,55.01845008810014,-1.5886523710526244
13068,Chirk,328700,337890,Kraft Foods UK Ltd,"Food, drink & tobacco industry",1391.215434,Wales,52.933655450211035,-3.062235027986639
8946,Birmingham,419070,283700,The National Exhibition Centre Ltd,Commercial,1380.238527,England,52.45092840403549,-1.7208235377575825
14437,Bury St Edmunds,584864,266369,Mizkan Euro Ltd,"Food, drink & tobacco industry",1345.273361,England,52.2644061107905,0.7075665143895484
9465,North Western Mills,370900,353800,Morning Foods Ltd,"Food, drink & tobacco industry",1344,England,53.08062355961244,-2.435864090329759
14925,Macallan Distillery,327638,844371,The Macallan Distillers Ltd,"Food, drink & tobacco industry",1342.829618,Scotland,57.483777810019696,-3.2085443412500525
9615,Burton-On-Trent,423200,323400,Marston's Plc,"Food, drink & tobacco industry",1286.394941,England,52.807655441278335,-1.6572792923281934
8348,Radcliffe Pulp Mill,376800,406750,Ahlstrom Chirnside Ltd,"Paper, printing & publishing industries",1275.116266,England,53.556855435888856,-2.351683316951457
13446,Simpson Clough Paper Mill,385260,412110,Union Papertech Ltd,"Paper, printing & publishing industries",1270.142787,England,53.605339837664985,-2.2242331625706244
8127,Keyingham,525200,425100,Mill Nurseries Ltd,"Agriculture, forestry & fishing",1232.441288,England,53.70731869184271,-0.10470445496043777
11614,Ringstead,497000,278280,Dodson & Horrell Ltd,"Food, drink & tobacco industry",1227.903818,England,52.393956825092744,-0.5759296162303709
13435,Lancaster,348387,463261,Lancaster Tissue Ltd,"Paper, printing & publishing industries",1212.353757,England,54.06269427598352,-2.7900511516496866
43107,Burton-On-Trent,423225,323356,Marston's Beer Company Ltd,"Food, drink & tobacco industry",1205.960416,England,52.80725884161378,-1.6569115464741029
12510,Llansantffraid,322100,320250,Wynnstay Group Plc,"Food, drink & tobacco industry",1196.914909,Wales,52.77419671304043,-3.156185737293232
9586,Bolton General Hospital,371610,406450,White Rose Environmental Ltd,Commercial,1159.305144,England,53.55390284912859,-2.429998611199295
14422,Kendal,351850,494250,Kendal Nutricare Ltd,"Food, drink & tobacco industry",1138.668477,England,54.34151586778693,-2.7421229724793807
14970,Grantham,493952,326812,McCain Foods (G.B.) Ltd,"Food, drink & tobacco industry",1131.905051,England,52.83065079337061,-0.606934300963557
41379,Somercotes,441100,354470,Thorntons Ltd,"Food, drink & tobacco industry",1127.672727,England,53.08587232865593,-1.3878249923091142
8112,Tower Brewery,448110,443320,Coors Brewers Ltd,"Food, drink & tobacco industry",1124.644797,England,53.883846503738205,-1.2695877409240068
8178,St Cuthberts Mill,353160,146480,Inveresk Plc,"Paper, printing & publishing industries",1112.428875,England,51.21558832255314,-2.6720036601011854
12421,Bramley,423200,434510,Britvic Soft Drinks Ltd,"Food, drink & tobacco industry",1084.363636,England,53.806371453060564,-1.6491933793881814
10546,Lag Farm,351520,158640,Yeo Valley Farms (Production) Ltd,"Food, drink & tobacco industry",1074,England,51.324783524393126,-2.697135252035836
9264,Hanworth,511080,170820,Dairy Crest Ltd,"Food, drink & tobacco industry",1068.272727,England,51.42551241911162,-0.40371097220375307
8882,Mansfield,456670,361800,Toray Textiles Europe Limted,"Textiles, clothing, leather & footwear",1068.164959,England,53.150332389674375,-1.154095224233941
9632,Park Brewery,390800,298640,Marston's PLC,"Food, drink & tobacco industry",1027.297702,England,52.58548653521166,-2.137219365162507
14631,Eye,614260,273810,1Stop Halal Ltd,"Food, drink & tobacco industry",1014.518182,England,52.3205472871186,1.1424083957876041
9705,Bridge of Weir,239505,664821,Bridge of Weir Leather Co Ltd,"Textiles, clothing, leather & footwear",942.6645385,Scotland,55.84980487805821,-4.5652422168583096
14695,Ansty,440692,280840,RWG (Repair & Overhauls) Ltd,Commercial,939.8021373,England,52.42404028619857,-1.40302957925399
8803,Westgate Brewery,585680,263770,Greene King Brewing & Retailing Ltd,"Food, drink & tobacco industry",906.7385482,England,52.240791989908004,0.7180817555566182
13758,Greenwich Generating Station,538900,178000,London Underground Ltd,Commercial,898.9513773,England,51.483903606293026,-0.0009905547591680863
11972,NestlÃÆÃÂ© Halifax Boiler House,409720,424860,Cofely Ltd,"Food, drink & tobacco industry",897.6105373,England,53.72006102322191,-1.85418394750048
8902,Adastral Park,624850,245250,BT Plc,Commercial,884.9557833,England,52.05997246614254,1.2785942873249434
13816,"Llysonnen Mill, CARMARTHEN",238288,219581,Llysonnen Mill EPR/EP3034GS,"Food, drink & tobacco industry",878.328,Wales,51.85133271990333,-4.349304060484863
4653,Liskeard,226800,65000,Peake (GB) Ltd,Commercial,852.227825,England,50.45919421128296,-4.441473644851471
8963,Birmingham International Airport,418400,283700,Birmingham International Airport Ltd,Commercial,845.7905219,England,52.45095123964543,-1.7306820767701705
43077,Watervole-1,457825,400753,Walker & Son (Hauliers) Ltd,Commercial,838.5210327,England,53.50030412322751,-1.1297342769053393
40508,Grimsby,525749,410969,Pelagia (UK) Ltd,"Food, drink & tobacco industry",824.3258755,England,53.58024472729223,-0.10210105444421665
14968,Newton Aycliffe,427935,521580,II-VI Compound Semiconductors Ltd,Electrical engineering,805.2634009,England,54.588647011964774,-1.5692384591841324
13880,"Bridge Road North, Wrexham Inudstrial Estate, Wrexham",338324,349656,Lloyds Animal Feeds Mill,"Food, drink & tobacco industry",797.4436364,Wales,53.04060235126137,-2.921320792136432
14243,Ledbury,369690,237160,Heineken UK Ltd,"Food, drink & tobacco industry",781.1037273,England,52.03201304321098,-2.443226339868914
13819,"Aber-Arad, Newcastle Emlyn",231530,240162,The Creamery,"Food, drink & tobacco industry",705.993,Wales,52.03420264112619,-4.45741696451773
40534,Glen Ord Distillery and Maltings,251700,850800,Diageo Scotland Ltd,"Food, drink & tobacco industry",670.9505455,Scotland,57.52298920928027,-4.47798330986146
