PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
8303,North Tees Aromatics,452692,523080,Huntsman Petrochemicals (UK) Ltd,Chemical industry,7597.909091,England
40544,Port Talbot COG Flaring,277110,185810,Tata Steel Ltd,Iron & steel industries,7586.174071,Wales
40166,North Tees Site,452570,522980,Sabic UK Petrochemicals Ltd,Chemical industry,7500,England
9587,Gateshead,424910,558960,Armstrong World Industries Ltd,Other mineral industries,7407.272727,England
8567,Par Harbour,207600,53300,Imerys Minerals Ltd,Other mineral industries,7233.997055,England
8021,Grimsby,524700,411340,Novartis Grimsby Ltd,Chemical industry,7103.736371,England
14240,Kirton,468500,367500,Hanson Building Products Ltd,Other mineral industries,7039.182215,England
11059,Ferrybridge,447940,425500,Lafarge Plasterboard Ltd,Other mineral industries,6912.424325,England
11746,Barrow Works,459400,316600,BPB United Kingdom Ltd,Other mineral industries,6859.45593,England
13135,Wilton Teraphalic Acid/Melinar Plant,457300,521270,Lotte Chemical UK Ltd,Chemical industry,6556.186364,England
13744,Broomfleet Works,485970,427430,Wienerberger Ltd,Other mineral industries,6520.489816,England
14413,Seal Sands Biodiesel Processing Plant,453600,524500,Greenergy Biofuels Teesside Ltd,Chemical industry,6459.081466,England
9647,Grangemouth,291649,681450,Dalkia Plc,Chemical industry,6279.730909,Scotland
14233,Accrington,376520,430300,Hanson Building Products Ltd,Other mineral industries,6216.021889,England
14287,Newton Aycliffe,426810,523880,Ineos Compounds Aycliffe Ltd,Chemical industry,6199.090909,England
8923,Warnham Brickworks,517000,134000,Wienerberger Ltd,Other mineral industries,6170.078086,England
11416,Middlesbrough,452320,524640,Laporte Industries Ltd,Chemical industry,6097.620747,England
13714,Gateshead,423600,562000,Spartan UK Ltd,Iron & steel industries,6079.952632,England
14650,Bradford,416912,431517,Kemira Chemicals (UK) Ltd,Chemical industry,6025.483917,England
8300,Runcorn,350300,380700,Ineos Chlor Ltd,Chemical industry,5971.423863,England
14014,Castle Works,319700,175200,Celsa Manufacturing (UK) Ltd,Iron & steel industries,5960.426013,Wales
9018,Grangemouth,291600,681400,Kemfine Ltd,Chemical industry,5874.519938,Scotland
8469,Throckley Brickworks,415620,567410,Ibstock Brick Ltd,Other mineral industries,5834.828146,England
8451,Cattybrook Brickworks,358932,182603,Ibstock Brick Ltd,Other mineral industries,5820.78201,England
11487,Stirling,280558,692780,Superglass Insulation Ltd,Other mineral industries,5738.650443,Scotland
7119,Llanelli,255480,198770,Huntsman Corporation UK Ltd,Chemical industry,5709.545455,Wales
8290,Port Sunlight,334588,384588,Lever Faberge,Chemical industry,5647.296098,England
8302,Wilton Olefins 6,458600,520990,Huntsman Petrochemicals (UK) Ltd,Chemical industry,5640.289435,England
8692,Carrington,374500,392610,Basell Polyolefins UK Ltd,Chemical industry,5578.19247,England
8131,Stevenage,523800,222500,GlaxoSmithKline Plc,Chemical industry,5556.278596,England
8830,Mostyn,316006,380579,Warwick International Ltd,Chemical industry,5516.476664,Wales
11101,Hartlebury Factory,385120,270810,Wienerberger Ltd,Other mineral industries,5513.577049,England
13627,Daldowie Fuel Plant,267200,662100,SMW Ltd,Other fuel production,5500.283067,Scotland
14963,Liberty Speciality Steels - Stocksbridge,427168,398653,Speciality Steel UK Ltd,Iron & steel industries,5457.818182,England
8462,Parkhouse Brickworks,383870,350430,Ibstock Brick Ltd,Other mineral industries,5434.098736,England
14239,Howley Park,426100,425700,Hanson Building Products Ltd,Other mineral industries,5366.165667,England
14181,Newport,333270,185120,Mir Steel UK Ltd,Iron & steel industries,5240.126018,Wales
13645,Corby Tubeworks,490860,289140,Tata Steel UK Ltd,Iron & steel industries,5140.409493,England
8815,Four Ashes,391500,309200,Schenectady Europe Ltd,Chemical industry,5086.510124,England
8068,Freshfield Lane,538600,126100,Freshfield Lane Brickworks Ltd,Other mineral industries,5078.580232,England
