ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
14698,Dalzell Works,275802,656788,Liberty Steel Dalzell Ltd,Iron & steel industries,2457.998059,Scotland,55.788390430535344,-3.982226870189297
8170,Dreadnought Brickworks,390575,289415,Hinton Perry & Davenhill Ltd,Other mineral industries,2456.114613,England,52.50255142596052,-2.140275113208568
40397,Orchard Mill,368810,422770,Perspex International Ltd,Chemical industry,2440.909091,England,53.70042598485429,-2.4739025981931966
14403,Colnbrook,503100,175900,Aggregate Industries UK Ltd,Other mineral industries,2357.87676,England,51.472680418310205,-0.5169669170230818
13622,Livingston,305550,669656,Wyman Gordon Ltd,Iron & steel industries,2352.962384,Scotland,55.91070047921621,-3.512515867306772
8566,Lee Moor Site,256600,60900,Imerys Minerals Ltd,Other mineral industries,2351.45076,England,50.430394755081025,-4.0203745492307155
13662,Hayes Asphalt,510522,179515,Lafarge Tarmac Trading Ltd,Other mineral industries,2348.316968,England,51.503772535631036,-0.40901791063981974
9015,Montrose,372000,757170,GlaxoSmithKline,Chemical industry,2345.744441,Scotland,56.70538955138685,-2.4589154111264455
8569,St Dennis,194750,57250,Imerys Minerals Ltd,Other mineral industries,2275.901054,England,50.37924339598799,-4.888204726995384
43113,Hillhouse International,334219,443549,Victrex plc,Chemical industry,2257.934495,England,53.88393941012551,-3.00222007975746
13683,West Drayton,507618,179910,Hanson Quarry Products Europe Ltd,Other mineral industries,2253.216112,England,51.507882697342964,-0.4507209689907907
8171,Ulverston,330730,477550,Glaxo Operations UK Ltd,Chemical industry,2235.423344,England,54.18901945262687,-3.063058136514872
13762,Wilton Aniline Plant,459764,521369,Huntsman Polyurethanes (UK) Ltd,Chemical industry,2175.027259,England,54.58399761142606,-1.07679985610509
7124,Haverhill,566870,244880,International Flavours & Fragrances (GB) Ltd,Chemical industry,2151.545455,England,52.07713527509532,0.4335968667486667
13694,Leaton Quarry,361534,311357,Breedon Aggregates England Ltd,Other mineral industries,2045.978855,England,52.69851395848482,-2.570640821231839
8659,Oldbury,399190,288430,Rhodia Consumer Specialties Ltd,Chemical industry,2032.045413,England,52.493779010692165,-2.0133593559079532
14443,Hillhouse Quarry,234623,634184,Hillhouse Quarry Group Ltd,Other mineral industries,2007.862996,Scotland,55.573169847056704,-4.624619245876946
8925,Smeed Dean Brickworks,592200,165300,Wienerberger Ltd,Other mineral industries,1917.891046,England,51.35425894764217,0.758915663861447
13698,Dagenham,548894,181891,Eurovia Infrastructure Ltd,Other mineral industries,1906.227575,England,51.51632451317744,0.14447641878524603
8360,Widnes,352580,387790,Rockwood Additives Ltd,Chemical industry,1885.593191,England,53.3848133293042,-2.7144007703395223
9657,Leven,337000,701500,Silberline Ltd,Chemical industry,1786.090909,Scotland,56.20191227530833,-3.0170155830758882
13660,Halecombe Asphalt,370230,147430,Lafarge Tarmac Trading Ltd,Other mineral industries,1771.981189,England,51.225279066037785,-2.42769611452109
40607,Speke Pharmaceutical Works FLEMING ROAD MERSEYSIDE,343563,384561,Elanco UK AH Limited,Chemical industry,1738.563147,England,53.35490395323354,-2.8493742190065134
13734,Exhall,435796,285104,Monier Redland Ltd,Other mineral industries,1709.292821,England,52.46271347026944,-1.4745686619149379
9071,Glasgow,268950,656130,Raeburn Brick Ltd,Other mineral industries,1613.706537,Scotland,55.780672517668435,-4.091103447125129
13743,Saltend,516200,428100,INEOS Manufacturing (Hull) Ltd,Chemical industry,1596.473168,England,53.73634876557595,-0.23985529880580644
8483,Michelmersh Brickworks,434400,125820,Michelmersh Brick & Tile Co Ltd,Other mineral industries,1556.595562,England,51.03072087781306,-1.5108235295638812
43111,Trafford Park,378454,397132,Lanxess Solutions UK Ltd,Chemical industry,1512.520628,England,53.47047741411215,-2.3260512726154516
13656,Bredbury Asphalt,392200,392000,Lafarge Tarmac Trading Ltd,Other mineral industries,1500.208669,England,53.42473463821019,-2.1188440206772077
13678,Dagenham,549100,182000,Hanson Quarry Products Europe Ltd,Other mineral industries,1441.699552,England,51.51724960604002,0.14748913244241207
14192,Purfleet,556659,177111,Aggregate Industries UK Ltd,Other mineral industries,1428.236067,England,51.47128050371717,0.2541751668811339
14016,Dolyhir Asphalt,323797,258194,Lafarge Tarmac Trading Ltd,Other mineral industries,1420.415561,Wales,52.21666731987746,-3.1168093555419203
13676,Allington,574400,157900,Hanson Quarry Products Europe Ltd,Other mineral industries,1419.03327,England,51.293521869919566,0.49993546555255847
13650,Dove Holes Roadstone Coating Plant,408300,377960,CEMEX UK Operations Ltd,Other mineral industries,1418.919311,England,53.29853065011849,-1.8769268510882815
8392,Jealott's Hill,487030,173370,Syngenta,Chemical industry,1407.14869,England,51.452634260572104,-0.7488984533832458
40278,Hythe Power Station,443892,105893,RWE Generation UK plc,Chemical industry,1399.914652,England,50.85089670955659,-1.3778679015602697
11392,Seal Sands,452620,524010,Ineos Nitriles (UK) Ltd,Chemical industry,1372.090909,England,54.608521570596984,-1.1868516245247485
9306,Speke,343610,383940,Novartis Vaccines & Diagnostics Ltd,Chemical industry,1358.838423,England,53.34932765166716,-2.848557283701329
8562,Hull,508700,427800,Smith & Nephew Medical Ltd,Chemical industry,1343.019084,England,53.735268832154226,-0.35360923051281573
9625,Speke,343740,383880,Novartis Vaccines & Diagnostics Ltd,Chemical industry,1315.334305,England,53.34880226473932,-2.846593961387207
14964,Liberty Speciality Steels - Brinsworth,440928,391280,Speciality Steel UK Ltd,Iron & steel industries,1306.576486,England,53.41674370947009,-1.3856734442908383
8452,Chailey Brickworks,539000,117610,Ibstock Brick Ltd,Other mineral industries,1306.546426,England,50.94118507670969,-0.02293490928368679
10175,Church,374170,428620,William Blythe Ltd,Chemical industry,1305.513545,England,53.75329871933477,-2.393209201959272
7452,Bellshill,273301,660470,Calcarb Ltd,Chemical industry,1290,Scotland,55.820803110214364,-4.023799368109279
14193,West Drayton,505244,179158,Aggregate Industries UK Ltd,Other mineral industries,1276.680431,England,51.50157013150528,-0.48513915923687734
13673,Wednesbury Asphalt Plant,398400,294200,Midland Quarry Products Ltd,Other mineral industries,1274.34777,England,52.54564880016734,-2.025024794499484
13704,Westleigh Asphalt,306200,117300,Aggregate Industries UK Ltd,Other mineral industries,1268.600984,England,50.94747791513783,-3.3366124380800293
13623,Newbridge,312900,672100,Lafarge Tarmac Trading Ltd,Other mineral industries,1202.071394,Scotland,55.934040546207456,-3.3957658159770188
8425,Askam Brickworks,321800,476100,Furness Brick & Tile Co Ltd,Other mineral industries,1200.970574,England,54.17470513061621,-3.1995015412681505
14664,Elstow Asphalt,504278,245708,Tarmac Trading Ltd,Other mineral industries,1183.985888,England,52.09989187019179,-0.4790562446707253
13668,Stowfield Asphalt,355900,210400,Lafarge Tarmac Trading Ltd,Other mineral industries,1175.798831,England,51.79050559162225,-2.640790386796239
12493,Newton Aycliffe,427200,524100,Lucite International UK Ltd,Chemical industry,1147.090909,England,54.61133293056527,-1.580379126451399
13685,Whatley,373226,147901,Hanson Quarry Products Europe Ltd,Other mineral industries,1109.301224,England,51.22966315778132,-2.384829071953432
14019,Criggion Quarry,329135,314791,Hanson Quarry Products Europe Ltd,Other mineral industries,1105.637444,Wales,52.7261015706075,-3.0507414638934662
13666,Santon Asphalt,492800,411900,Lafarge Tarmac Trading Ltd,Other mineral industries,1078.029532,England,53.595467991029764,-0.5993091019344874
14418,Baston,513700,314900,Midland Quarry Products Ltd,Other mineral industries,1068.964255,England,52.71981416181078,-0.3180765670712302
13682,Tytherington,366070,188700,Hanson Quarry Products Europe Ltd,Other mineral industries,1067.025019,England,51.59611594092849,-2.491228731971319
13625,Ethiebeaton Quarry,348600,733900,Breedon Aggregates Scotland Ltd,Other mineral industries,1059.456832,Scotland,56.49436480521573,-2.836420568650844
13635,Caldercruix,285300,666500,Lafarge Tarmac Trading Ltd,Other mineral industries,1052.164893,Scotland,55.87795554599969,-3.83495123108116
13654,Bayston Hill Asphalt,349100,309000,Lafarge Tarmac Trading Ltd,Other mineral industries,1051.222287,England,52.676298542743005,-2.7542534104646714
8486,Charnwood Forest Brickworks,447800,318400,Charnwood Forest Brick Ltd,Other mineral industries,1033.848047,England,52.76109753389499,-1.2930998584416713
14189,Crawley,528680,139074,Aggregate Industries UK Ltd,Other mineral industries,1003.08186,England,51.1364876083479,-0.1621221662465498
7073,Leek,397980,355550,Croda Chemicals International Ltd,Chemical industry,1001.885455,England,53.09714916707881,-2.031619231861372
13713,Benninghoven Plant,463200,170400,United Asphalt Ltd,Other mineral industries,998.3344364,England,51.429089553228415,-1.092322108695506
