PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
9543,Levenshulme,387930,393140,United Biscuits UK Ltd,"Food, drink & tobacco industry",5356.636364,England
8084,Magor Brewery,341600,187600,Interbrew UK Ltd,"Food, drink & tobacco industry",5354.924528,Wales
13257,Leslie,324821,701355,Fourstones Paper Mill Co Ltd,"Paper, printing & publishing industries",5075.760305,Scotland
11986,Staverton,385783,160943,Cereal Partners UK,"Food, drink & tobacco industry",5042.310821,England
8995,Dungannon,93213,521509,Moy Park Ltd,"Food, drink & tobacco industry",5008.627268,Northern Ireland
40293,The Glenlivet Distillery,319493,828695,Chivas Brothers Ltd,"Food, drink & tobacco industry",4917.458433,Scotland
40725,Drungans,297316,576211,Penspen Ltd,Commercial,4902.81987,Scotland
14416,Shobnall Maltings,425080,324290,Soufflet Malt UK Ltd,"Food, drink & tobacco industry",4876.049141,England
14493,Jacobs Bakery,336990,396030,United Biscuits (UK) Ltd,"Food, drink & tobacco industry",4827,England
8049,Burton Brewery,424660,323100,Coors Brewers Ltd,"Food, drink & tobacco industry",4754.402697,England
40421,Caw House,428230,490060,Cawingredients Ltd,"Food, drink & tobacco industry",4688.454545,England
11041,Craigavon,113040,514454,Moy Park Ltd,"Food, drink & tobacco industry",4659.545455,Northern Ireland
13262,Knockmore Hill,134583,519964,Contourglobal Solutions (NI) Ltd,"Food, drink & tobacco industry",4613.888048,Northern Ireland
14682,Hazel Grove,390633,386651,Nexperia UK Ltd,Electrical engineering,4533.424582,England
8435,Cedar Maltings,606300,257600,Muntons Plc,"Food, drink & tobacco industry",4433.780037,England
8222,Wrexham,338858,350433,Kellogg Co of Great Britain Ltd,"Food, drink & tobacco industry",4334.273032,Wales
7538,Chirnside,385058,656266,Dalkia Utilities Services Plc,"Paper, printing & publishing industries",4315.090909,Scotland
8083,Samlesbury Brewery,359486,429649,Interbrew UK Ltd,"Food, drink & tobacco industry",4293.453938,England
40699,Chartham Paper Mill,610765,154929,Arjowiggins Chartham Mill Ltd,"Paper, printing & publishing industries",4279.072988,England
13705,Erlings Works,408462,433332,Omega Proteins Ltd,"Food, drink & tobacco industry",4259.417427,England
8285,Nestle Purina Wisbech,545800,309300,Nestle Purina Petcare Ltd,"Food, drink & tobacco industry",4147.238269,England
13626,Dumfries,300400,575500,Dundas Chemical Company (Mosspark) Ltd,"Food, drink & tobacco industry",4143.384635,Scotland
13263,Long Sutton,545090,322320,Princes Ltd,"Food, drink & tobacco industry",4089.855221,England
9653,Greenock,223406,675994,National Semiconductor (UK) Ltd,Electrical engineering,3972.717545,Scotland
7587,Crick,458399,273638,Butchers Pet Care Ltd,"Food, drink & tobacco industry",3966.134182,England
14966,Globe Industrial Power Station,393989,396987,UK Power Reserve Ltd,Commercial,3804.255464,England
13745,Stainland,406935,418965,Sonoco Cores and Paper Ltd,"Paper, printing & publishing industries",3765.17418,England
9064,Irvine,233590,635210,UPM-Kymmene (UK) Ltd,"Paper, printing & publishing industries",3735.096161,Scotland
14674,Dalston,337290,550765,NestlÃƒÂ© UK Ltd,"Food, drink & tobacco industry",3685.472618,England
14954,London,529884,183059,The Francis Crick Institute Ltd,Commercial,3638.158702,England
8788,Heathrow Airport,507550,176750,British Airways Plc,Commercial,3624.375063,England
14436,Burstwick CHP,485400,430100,Growth Power Ltd,"Agriculture, forestry & fishing",3620.901275,England
14828,Slough Chocolate Factory,495100,181550,MARS Chocolate UK Ltd,"Food, drink & tobacco industry",3579.713455,England
14200,Billingham,447560,524035,KP Snacks Ltd,"Food, drink & tobacco industry",3574.397225,England
8184,John Smith's Brewery,448500,443190,Scottish Courage Ltd,"Food, drink & tobacco industry",3504.959446,England
11440,Lurgan,122225,515425,Huhtamaki (Lurgan) Ltd,"Paper, printing & publishing industries",3409.308172,Northern Ireland
9606,Felinfach,251850,257600,Volac International Ltd,"Food, drink & tobacco industry",3382.173469,Wales
13258,Wisbech,546464,310185,Princes Ltd,"Food, drink & tobacco industry",3363.996101,England
40762,Shotton Mill,330500,371500,Shotton Mill Ltd,"Paper, printing & publishing industries",3359.642389,Wales
8989,Dunmanbridge,95449,539996,Dalefarm Dairies Ltd,"Food, drink & tobacco industry",3356.095522,Northern Ireland
40103,Enfield,536640,197160,Warburtons Ltd,"Food, drink & tobacco industry",3316.363636,England
43136,Bridgewater Diary,330050,133710,Muller UK and Ireland Group LLP,"Food, drink & tobacco industry",3296.722909,England
8185,Royal Brewery,384030,396020,Scottish Courage Ltd,"Food, drink & tobacco industry",3292.456519,England
11966,Disley Mill,398000,385300,Disley Tissue Ltd,"Paper, printing & publishing industries",3290.564918,England
5219,Belfast,145940,532205,John Thompson & Sons Ltd,"Food, drink & tobacco industry",3272.727273,Northern Ireland
14400,Northampton Brewery,475270,259920,Carlsberg Supply Chain UK Ltd (CSC),"Food, drink & tobacco industry",3242.806958,England
8850,Bridgend,292000,178900,Sony UK Technology Centre,Electrical engineering,3224,Wales
12330,Dalton Airfield,441760,475290,Wagg Foods Ltd,"Food, drink & tobacco industry",3197.727273,England
8807,Hern Hill Nursery,607612,162701,S&A Produce (UK) Ltd,"Agriculture, forestry & fishing",3187.881933,England
